canonical_smiles,pchembl_median,affinity_nm
CC(=O)N[C@@H](C[S+]([O-])c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,9.6,0.2511886431509582
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H]1Cc2ccc(cc2)OCCCNC(=O)[C@H](C(C)C)NC1=O)C(C)C,7.31,48.97788193684466
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,6.67,213.79620895022325
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H]1Cc2ccc(cc2)OCCCNC(=O)[C@H](C(C)C)NC1=O)C(C)C,7.16,69.18309709189363
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N[C@H]1Cc2ccc(cc2)OCCCNC(=O)[C@H](C(C)C)NC1=O)C(C)C,7.1,79.43282347242823
CC(=O)N[C@H](C(=O)C[C@@H](Cc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,7.92,12.02264434617413
CC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,8.82,1.513561248436207
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,7.92,12.02264434617413
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,7.35,44.668359215096345
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,8.05,8.912509381337442
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(C#N)cc1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,7.3,50.11872336272725
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(F)cc1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,7.55,28.18382931264455
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccccc1)NC(=O)[C@H](NC(C)=O)C(C)C)C(C)C,7.52,30.199517204020193
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)c1nc(C(C)C)c[nH]1)C(C)C,9.0,1.0
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc2ncsc2c1)C(C)C,10.0,0.1
CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC2CCCCC2C[C@H]1C(=O)NC(C)(C)C)C(C)C,8.52,3.019951720402019
CC(=O)N[C@H](C(=O)N[C@H](C(=O)C[C@@H](Cc1ccccc1)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C)C(C)C)C(C)C,8.0,10.0
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,7.7,19.952623149688787
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C)C(C)C)C(C)C,8.0,10.0
CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)[C@H](NC(C)=O)C(C)C)C(C)C)C(C)C)C(C)C,8.0,10.0
CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,8.74,1.8197008586099825
CC(=O)N[C@H](CS(=O)(=O)c1ccc(F)cc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,8.92,1.202264434617413
CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,8.8,1.584893192461111
CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,9.3,0.5011872336272715
CC(=O)N[C@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,9.52,0.30199517204020193
CC(=O)N[C@H](CS(=O)(=O)c1cccc2cccnc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,8.77,1.698243652461746
CC(=O)N[C@H](CS(=O)(=O)c1cccc2cccnc12)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,9.38,0.41686938347033464
CC(=O)N[C@H](CSCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,8.22,6.025595860743569
CC(=O)N[C@H]1CCCC[C@@H]1NC(=O)[C@H](Cc1ccccc1)CC(O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCCC[C@@H]1NC(C)=O,5.52,3019.9517204020194
CC(=O)Nc1cc(C(C)(C)C)c(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)cc1C,8.47,3.3884415613920202
CC(=O)Nc1cc(C(C)(C)C)c(SC2=C(O)OC(CCc3ccccc3)(C(C)C)CC2=O)cc1C,8.46,3.4673685045253095
CC(=O)Nc1ccc(S(=O)(=O)N(CCC(C)C)C[C@@H](O)[C@@H]2Cc3ccc(cc3)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N2)cc1,8.0,10.0
CC(=O)Nc1ccc(S(=O)(=O)N(CCC(C)C)C[C@@H](O)[C@@H]2Cc3ccc(cc3)OCCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C(C)C)C(=O)N2)cc1,8.7,1.9952623149688828
CC(=O)Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(C)=O,7.39,40.7380277804113
CC(=O)Nc1nc(CCC2(C(C)C)CC(=O)C(Sc3cc(C)c(CO)cc3C(C)(C)C)=C(O)O2)cs1,7.75,17.78279410038923
CC(=O)c1c[nH]c([C@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)n1,6.43,371.5352290971728
CC(=O)c1cc(CN2C(=O)N(Cc3ccc(F)c(C(C)=O)c3)[C@H](Cc3ccc4c(c3)OCCO4)[C@H](O)[C@@H](O)[C@H]2Cc2ccc3c(c2)OCCO3)ccc1F,9.19,0.6456542290346563
CC(=O)c1cc(CN2C(=O)N(Cc3ccc(F)c(C(C)=O)c3)[C@H](Cc3ccc4c(c3)OCO4)[C@H](O)[C@@H](O)[C@H]2Cc2ccc3c(c2)OCO3)ccc1F,8.82,1.513561248436207
CC(=O)c1ccc(C)cc1NC(C(N)=O)c1c(Cl)cccc1Cl,5.55,2818.3829312644552
CC(=O)c1ccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(N)cc3)OC2=O)cc1,9.73,0.18620871366628655
CC(=O)c1ccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)OC2=O)cc1,10.8,0.015848931924611107
CC(=O)c1ccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(Cc3cccs3)S(=O)(=O)c3cc(F)c(F)cc3F)OC2=O)cc1,6.78,165.95869074375597
CC(=O)c1cccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,10.44,0.03630780547701017
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)C3C2CS[C@H]3CCCCCO)c1,5.43,3715.3522909717276
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)[C@H](Cc3ccc4c(c3)CCO4)[C@H](O)[C@@H](O)[C@H]2Cc2ccc3c(c2)CCO3)c1,10.32,0.0478630092322638
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)[C@H](Cc3ccc4c(c3)N(C)CCO4)[C@H](O)[C@@H](O)[C@H]2Cc2ccc3c(c2)N(C)CCO3)c1,10.1,0.07943282347242822
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)[C@H](Cc3ccc4c(c3)OCCO4)[C@H](O)[C@@H](O)[C@H]2Cc2ccc3c(c2)OCCO3)c1,10.4,0.03981071705534969
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)[C@H](Cc3ccc4c(c3)OCO4)[C@H](O)[C@@H](O)[C@H]2Cc2ccc3c(c2)OCO3)c1,10.37,0.04265795188015935
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,10.22,0.06025595860743569
CC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(C)=O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1,9.04,0.9120108393559115
CC(=O)c1cccc(CN2[C@@H](COc3ccccc3)[C@@H](O)[C@H](O)[C@H](COc3ccccc3)N(Cc3cccc(C(C)=O)c3)S2(=O)=O)c1,7.23,58.884365535558835
CC(=O)c1cccc(CN2[C@H](COc3ccccc3)[C@H](O)[C@@H](O)[C@@H](COc3ccccc3)N(Cc3cccc(C(C)=O)c3)S2(=O)=O)c1,7.23,58.884365535558835
CC(=O)c1cccc(COC(=O)CCCC[C@@H]2SCC3C2N(Cc2cccc(C(C)=O)c2)C(=O)N3Cc2cccc(C(C)=O)c2)c1,5.47,3388.4415613920273
CC(=O)c1cccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(N)cc3)OC2=O)c1,10.49,0.03235936569296281
CC(=O)c1cccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc(OC(F)(F)F)cc3)OC2=O)c1,8.7,1.9952623149688828
CC(=O)c1cccc(N2C[C@@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)OC2=O)c1,9.14,0.7244359600749891
CC(C)(C)C(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)C(C)(C)C)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,8.44,3.6307805477010175
CC(C)(C)C(C1=C(O)OC2CCCCCCC2C1=O)c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1,9.7,0.19952623149688828
CC(C)(C)C(C1=C(O)OC2CCCCCCC2C1=O)c1ccccc1,5.82,1513.5612484362073
CC(C)(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](CO)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C,7.89,12.88249551693135
CC(C)(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](CO)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C,6.59,257.03957827688646
CC(C)(C)CC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@]1(Cc2ccccc2)N=CC(C2c3ccccc3[C@H]3NC(=O)OC23)=C1O,7.02,95.49925860214368
CC(C)(C)CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,5.4,3981.071705534969
CC(C)(C)CC(SC1CCCCC1)c1c(O)cc(-c2ccccc2)oc1=O,6.52,301.9951720402019
CC(C)(C)CCN1C(=O)N(CCC(C)(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,7.44,36.3078054770101
CC(C)(C)CNC(=O)C(F)(F)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,6.19,645.654229034655
CC(C)(C)CNC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,8.94,1.148153621496884
CC(C)(C)COC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCC(C)(C)C,5.22,6025.5958607435805
CC(C)(C)N(CC(O)C1Cc2ccc(cc2)OCCCC(=O)NC(CC(N)=O)C(=O)N1)C(=O)C1CCCCN1,7.92,12.02264434617413
CC(C)(C)N(CCO)C(=O)c1ccccc1CC(O)CSc1ccccc1C(=O)N(CCO)C(C)(C)C,4.75,17782.79410038923
CC(C)(C)N(CCO)C(=O)c1ccccc1CCC(O)Cc1ccccc1C(=O)N(CCO)C(C)(C)C,5.96,1096.4781961431852
